Feature,Importance,Perm_rank,Performance_drop,Ablation_rank,SHAP_importance,SHAP_rank,Avg_rank,High_correlation,High_VIF,Recommendation
lr_deviation,0.013636364,1,0.028409091,1,0.013636364,1,1,FALSE,FALSE,KEEP
score_kurtosis,0,4,0,9,0,4,5.666666667,TRUE,FALSE,REMOVE
kurtosis,0.003409091,2,-0.005681818,14,0.003409091,2,6,FALSE,FALSE,KEEP
score_regime,0,3,0,13,0,3,6.333333333,FALSE,FALSE,KEEP
score_hurst,0,5,0,10,0,5,6.666666667,FALSE,FALSE,KEEP
score_fvg,0,7,0,6,0,7,6.666666667,FALSE,FALSE,KEEP
score_fvg_size_atr,0,6,0,11,0,6,7.666666667,FALSE,FALSE,KEEP
score_skewness,-0.003977273,11,0.028409091,2,-0.003977273,11,8,FALSE,FALSE,KEEP
obv_divergence,-0.000568182,10,0,5,-0.000568182,10,8.333333333,FALSE,FALSE,OPTIONAL
score_obv_div,0,8,0,12,0,8,9.333333333,FALSE,FALSE,OPTIONAL
atr_percentile,-0.005113636,13,0.011363636,3,-0.005113636,13,9.666666667,FALSE,FALSE,OPTIONAL
hurst,-0.004545455,12,0,7,-0.004545455,12,10.33333333,FALSE,FALSE,OPTIONAL
r2,-3.33E-17,9,-0.022727273,15,-3.33E-17,9,11,FALSE,FALSE,OPTIONAL
skewness,-0.009659091,15,0.011363636,4,-0.009659091,15,11.33333333,FALSE,FALSE,OPTIONAL
score_lr_deviation,-0.009090909,14,0,8,-0.009090909,14,12,FALSE,FALSE,OPTIONAL
